,dBA
755,71.2
756,48.0
757,51.0
758,62.1
759,64.8
760,52.1
761,49.8
762,61.7
763,71.9
764,53.8
765,52.4
766,63.5
767,68.5
768,53.5
769,53.0
770,63.4
771,61.8
772,47.0
773,51.2
774,62.1
775,70.5
776,45.6
777,52.0
778,62.0
779,65.2
780,55.7
781,50.5
782,62.2
783,68.8
784,46.0
785,50.2
786,60.6
787,71.8
788,45.2
789,52.6
790,61.9
791,69.3
792,53.3
793,52.5
794,63.4
795,67.9
796,56.4
797,48.0
798,63.3
799,66.9
800,55.6
801,48.1
802,62.2
803,60.6
804,56.7
805,48.8
806,61.6
807,62.5
808,45.1
809,49.8
810,61.9
811,71.2
812,53.6
813,51.8
814,61.8
815,62.1
816,51.6
817,52.8
818,62.1
819,54.8
820,50.7
821,51.3
822,63.5
823,66.4
824,52.3
825,50.7
826,62.8
827,72.3
828,46.4
829,52.2
830,61.3
831,69.7
832,46.1
833,50.9
834,61.8
835,63.7
836,46.1
837,52.7
838,62.5
839,62.5
840,49.4
841,53.2
842,62.7
843,59.3
844,49.8
845,52.0
846,62.3
847,53.6
848,46.4
849,50.2
850,62.6
851,72.9
852,47.2
853,56.0
854,62.7
855,67.1
856,45.0
857,52.5
858,62.5
859,70.5
860,44.9
861,50.9
862,63.1
863,71.3
864,45.8
865,48.8
866,62.5
867,68.1
868,53.5
869,53.5
870,61.9
871,69.3
872,47.0
873,54.2
874,63.3
875,68.4
876,47.2
877,56.4
878,64.2
879,70.0
880,52.3
881,52.1
882,62.1
883,69.5
884,48.2
885,52.7
886,60.5
887,67.4
888,48.3
889,53.5
890,66.0
891,64.3
892,57.3
893,55.0
894,62.3
895,74.3
896,47.1
897,53.2
898,61.9
899,70.4
900,51.8
901,56.0
902,61.4
903,69.2
904,47.9
905,54.0
906,60.9
907,70.2
908,49.9
909,54.6
910,61.9
911,70.4
912,51.2
913,53.2
914,61.8
915,67.8
916,53.6
917,55.8
918,60.9
919,70.3
920,57.0
921,55.4
922,61.3
923,74.2
924,52.3
925,54.8
926,62.3
927,67.2
928,54.1
929,56.5
930,61.0
931,73.7
932,53.7
933,54.1
934,61.1
935,69.6
936,51.4
937,54.6
938,60.8
939,64.8
940,55.4
941,57.7
942,61.2
943,68.9
944,46.1
945,56.2
946,60.4
947,69.3
948,56.4
949,54.0
950,60.1
951,70.6
952,48.2
953,55.0
954,60.2
955,68.7
956,47.3
957,54.4
958,60.3
959,74.4
960,52.1
961,53.2
962,59.7
963,66.1
964,49.6
965,54.0
966,59.8
967,65.6
968,47.3
969,54.2
970,59.6
971,64.7
972,57.0
973,54.0
974,59.8
975,67.0
976,51.4
977,52.6
978,59.3
979,72.2
980,53.2
981,54.1
982,60.2
983,68.7
984,54.6
985,54.9
986,59.2
987,68.0
988,50.8
989,55.9
990,58.8
991,67.9
992,54.4
993,58.2
994,58.6
995,74.3
996,53.7
997,55.7
998,58.7
999,67.9
1000,52.0
1001,55.1
1002,58.3
1003,71.9
1004,55.2
1005,51.2
1006,58.4
1007,69.1
1008,53.3
1009,54.5
1010,58.6
1011,69.9
1012,54.4
1013,55.8
1014,58.5
1015,66.9
1016,55.8
1017,54.5
1018,59.0
1019,73.6
1020,49.3
1021,55.2
1022,58.5
1023,68.0
1024,47.8
1025,56.1
1026,58.8
1027,74.8
1028,55.0
1029,56.1
1030,59.2
1031,69.1
1032,60.5
1033,57.2
1034,58.6
1035,68.1
1036,54.7
1037,54.8
1038,57.8
1039,75.5
1040,57.5
1041,54.8
1042,58.1
1043,69.4
1044,57.6
1045,55.1
1046,57.7
1047,71.7
1048,60.5
1049,54.6
1050,58.6
1051,74.2
1052,62.0
1053,55.3
1054,57.8
1055,71.5
1056,62.9
1057,56.1
1058,57.7
1059,62.6
1060,53.9
1061,56.8
1062,58.3
1063,72.4
1064,50.6
1065,56.7
1066,57.1
1067,76.4
1068,49.9
1069,57.8
1070,57.3
1071,69.0
1072,52.5
1073,58.3
1074,58.0
1075,75.4
1076,59.4
1077,57.1
1078,57.8
1079,74.6
1080,53.0
1081,56.1
1082,57.7
1083,71.4
1084,53.4
1085,58.2
1086,57.0
1087,70.1
1088,55.1
1089,58.4
1090,57.5
1091,73.6
1092,55.2
1093,57.6
1094,57.4
1095,65.5
1096,54.6
1097,57.8
1098,57.8
1099,71.9
1100,60.1
1101,58.0
1102,57.7
1103,76.3
1104,53.8
1105,57.6
1106,57.2
1107,72.4
1108,58.4
1109,58.9
1110,57.9
1111,73.5
1112,55.2
1113,58.7
1114,58.5
1115,73.5
1116,60.2
1117,59.9
1118,57.7
1119,66.4
1120,61.7
1121,57.9
1122,57.3
1123,75.5
1124,57.6
1125,57.6
1126,57.4
1127,70.3
1128,56.1
1129,59.2
1130,57.6
1131,72.5
1132,54.2
1133,58.5
1134,57.5
1135,74.7
1136,51.2
1137,60.2
1138,58.7
1139,75.6
1140,52.0
1141,60.2
1142,57.4
1143,73.5
1144,53.7
1145,57.7
1146,57.8
1147,74.7
1148,60.2
1149,59.8
1150,58.4
1151,73.5
1152,57.7
1153,57.7
1154,57.8
1155,71.2
1156,59.0
1157,58.6
1158,57.2
1159,75.8
1160,48.2
1161,58.6
1162,57.5
1163,75.8
1164,48.2
1165,59.7
1166,57.5
1167,73.1
1168,53.6
1169,56.4
1170,57.6
1171,75.9
1172,57.9
1173,59.5
1174,58.0
1175,74.1
1176,58.3
1177,57.6
1178,57.9
1179,75.5
1180,52.4
1181,57.9
1182,58.2
1183,71.6
1184,56.8
1185,58.2
1186,57.9
1187,75.9
1188,56.5
1189,57.5
1190,58.6
1191,69.4
1192,56.9
1193,58.8
1194,59.2
1195,74.9
1196,55.1
1197,57.4
1198,59.2
1199,67.7
1200,58.1
1201,59.3
1202,58.0
1203,70.7
1204,66.8
1205,57.9
1206,58.1
1207,70.1
1208,66.5
1209,56.0
1210,59.6
1211,74.5
1212,59.8
1213,55.8
1214,59.2
1215,67.3
1216,68.0
1217,58.0
1218,59.5
1219,73.9
1220,58.9
1221,58.0
1222,58.8
1223,72.9
1224,68.4
1225,58.0
1226,59.2
1227,67.3
1228,63.0
1229,60.6
1230,59.7
1231,75.1
1232,57.1
1233,59.6
1234,58.5
1235,74.8
1236,56.3
1237,59.0
1238,58.5
1239,69.7
1240,52.4
1241,57.9
1242,58.9
1243,73.2
1244,55.1
1245,59.0
1246,58.7
1247,71.8
1248,57.9
1249,59.6
1250,58.8
1251,73.4
1252,57.0
1253,57.5
1254,58.3
1255,73.3
1256,56.8
1257,59.7
1258,59.2
1259,71.9
1260,54.1
1261,60.0
1262,59.6
1263,70.9
1264,59.2
1265,59.7
1266,58.6
1267,74.5
1268,57.1
1269,59.9
1270,58.5
1271,69.3
1272,54.8
1273,60.3
1274,58.1
1275,69.8
1276,51.5
1277,56.3
1278,57.6
1279,74.3
1280,52.5
1281,59.7
1282,57.7
1283,74.4
1284,61.5
1285,60.0
1286,59.3
1287,65.8
1288,57.9
1289,58.6
1290,58.5
1291,73.4
1292,53.1
1293,58.6
1294,58.3
1295,72.9
1296,58.4
1297,59.2
1298,58.6
1299,73.5
1300,57.0
1301,57.8
1302,59.0
1303,71.5
1304,51.7
1305,59.3
1306,57.9
1307,75.7
1308,59.1
1309,59.0
1310,57.8
1311,71.1
1312,58.2
1313,60.0
1314,57.4
1315,69.6
1316,59.3
1317,58.9
1318,57.1
1319,77.5
1320,61.4
1321,60.6
1322,57.4
1323,70.0
1324,59.9
1325,58.7
1326,57.5
1327,72.8
1328,55.8
1329,58.6
1330,57.5
1331,73.7
1332,61.5
1333,57.9
1334,57.4
1335,74.1
1336,61.0
1337,60.3
1338,57.8
1339,74.7
1340,60.7
1341,60.1
1342,57.0
1343,73.6
1344,55.3
1345,58.5
1346,57.0
1347,72.8
1348,50.2
1349,59.3
1350,56.8
1351,71.8
1352,49.9
1353,59.5
1354,56.7
1355,73.5
1356,56.7
1357,59.1
1358,56.6
1359,70.9
1360,55.1
1361,60.5
1362,58.3
1363,77.2
1364,55.8
1365,58.8
1366,57.2
1367,72.8
1368,59.5
1369,60.0
1370,57.2
1371,72.6
1372,57.8
1373,58.7
1374,58.6
1375,75.4
1376,51.1
1377,60.6
1378,58.0
1379,75.4
1380,57.3
1381,60.8
1382,58.1
1383,72.1
1384,59.6
1385,59.3
1386,59.0
1387,72.8
1388,60.3
1389,59.1
1390,58.0
1391,73.4
1392,55.8
1393,61.0
1394,58.4
1395,71.3
1396,54.6
1397,59.6
1398,58.4
1399,74.9
1400,55.3
1401,60.6
1402,58.2
1403,73.0
1404,56.2
1405,60.4
1406,58.6
1407,70.9
1408,54.4
1409,59.2
1410,58.0
1411,73.0
1412,53.8
1413,60.1
1414,58.4
1415,75.3
1416,66.9
1417,59.4
1418,58.3
1419,74.3
1420,58.4
1421,60.3
1422,58.3
1423,73.3
1424,56.3
1425,59.7
1426,58.3
1427,75.4
1428,56.7
1429,60.3
1430,60.6
1431,71.5
1432,55.8
1433,57.9
1434,59.8
1435,73.1
1436,50.1
1437,60.1
1438,59.6
1439,75.3
1440,54.3
1441,59.7
1442,59.6
1443,71.5
1444,58.3
1445,60.6
1446,62.6
1447,76.0
1448,54.0
1449,59.2
1450,59.9
1451,71.6
1452,65.0
1453,60.5
1454,60.0
1455,70.7
1456,58.7
1457,58.8
1458,60.1
1459,78.0
1460,54.5
1461,58.5
1462,60.2
1463,70.0
1464,59.7
1465,59.7
1466,60.0
1467,71.9
1468,53.3
1469,58.8
1470,58.7
1471,74.1
1472,50.5
1473,57.7
1474,59.0
1475,72.6
1476,56.0
1477,59.8
1478,60.7
1479,71.5
1480,49.9
1481,58.0
